"","klasifikasi","score","text"
"447","Positif",2,"kurir sicepat sungguh menguji kesabaran"
"448","Negatif",-1,"checkout dua barang di waktu yg sama tapi nyampenya beda hari sicepat unggul  dari jt ð"
"449","Positif",0,"admin cek dm dong "
"450","Positif",3,"dari dari gambar berikut mimin kepo nih gambar apa sih yang pertama kali kamu lihat ð coba dong tulis di kolom komentar apa sesuai dengan kepribadian kamu selamat mencoba ya ð sicepatekspres bersatuuntukmudah testkepribadian"
"451","Positif",1,"biasanya kalo aju banding gini si seller dimintain video dia boxing paketnya apakah sesuai dgn yg dimasukin dan klo udh dikonfirmasi sama sicepat kalo isi paket berbeda biasanya buyer yg menang uang balik ke buyer  jef sumpah yg dana splitpay itu ambil aja aku udah ikhlas tp tolong yg shopee ini gausah segala ditolak dong ððððð"
"452","Positif",0,"buat   tolong kurir yg jahil suka bongkar paket tolong dipecat aja albumku melenyot anjir"
"453","Positif",0,"cek dm min "
"454","Negatif",-1,"tolong dinotice ya thread ini seller kalian ada yang tukang tipu  cc   help rt scammer  penipu nendoroid haikyuu gudangjeff  jeffcollect  shopee haikyuxsale  tokped changed name   dana shopeepay beli nendo dikirimnya gery salut  biji doang ð"
"455","Positif",0,"ini sicepat kenapa si sekarang respon pickup lama bgt"
"456","Positif",3,"sumpah baik banget ð mas sicepat moga berkah  update  dapet dm dr yg kerja di sicepat jakarta jd alurnya  bekasi  jkt  jawa tengah kan  di jkt paketnya memang sudah  kg ð dengan polymailer ð  ke jaticempaka yah guys"
"457","Positif",1,"kemarin lagi trending pake sicepat kalo dia bener cepet ternyata beneran wkwk dari surabaya ke semarang ngga ada jam"
"458","Positif",0,"kayak nama doang sicepat bangsat"
"459","Negatif",-1,"sicepat lo tolol bgtv"
"460","Positif",2,"tolong di bantu dong     help rt scammer  penipu nendoroid haikyuu gudangjeff  jeffcollect  shopee haikyuxsale  tokped changed name   dana shopeepay beli nendo dikirimnya gery salut  biji doang ð"
"461","Positif",0,"tabe ada yang punya kontaknya kurir sicepat reg  tamalanrea makasih"
"462","Positif",0,"orang luar pulau jawa cant relate meme meme sicepat"
"463","Negatif",-1,"drama chat mesum kurir sicepat mp tokopedia exp sicepat ps udah bosen jadi kurir mungkin lebih jelas di  cc  cc   "
"464","Negatif",-3,"sialan saking seringnya nganter paket kurir  uda tiga kali ini ga pernah nanyabilang kalo mo nganter paket tiba uda ada barang aja di depan kamar ð"
"465","Positif",4,"selain mention   tolong bantu mention  yaa karena seller ini masih ngotot mengirim barang yg sama  punya bukti kirim kalo bisa sicepat bekasi jaticempaka angkat bicara amp  memberikan bukti spt cctv yg akan sangat membantu kami   min krn seller dari shopee ini ngotot sudah kirim barang sesuai foto yg dia berikan selanjutnya masalah ke sicepat tolong bantuannya untuk hubungkan ke drop   bekasi jaticempaka untuk memastikan apa benar jefry lombardy ini mengirimkan paket sesuai"
"466","Positif",0,"ini sicepat atau silama padahal pake layanan yg  hari itu jg nyampe jam kerja lho kok dah kayak reguler halahhalah"
"467","Positif",1,"terbaik sicepat ini kemaren malam dikirim hari ini nyampe"
"468","Positif",0,"woi cepat sicepat spa muk ikut opfoll  saya mau opfoll siang"
"469","Positif",0,"cek dm "
"470","Positif",2,"kurir sicepat emang beneran cepat banget ð semalem paket masih di jkt sekarang udah dateng biasanya padahal bakal di kirim besokannya"
"471","Positif",0,"cepet nyampe dong ah elah sicepatekspres"
"472","Positif",0,"kurir sicepat yg anter paket ke rumah kalian suka ngefoto gasih"
"473","Positif",0,"dalam rangka memperingati hari menanam pohon indonesia hmpi dan hari bakti pekerjaan umum harbak pu ke tahun sicepat ekspres turut mendukung terselenggaranya kegiatan gerakan nasional pemulihan daerah aliran sungai gnpdas link "
"474","Negatif",-1,"kecewa banget sama "
"475","Negatif",-4,"tolong dong paket orang jangan seenaknya dirobek kayak gini isinya jilbab kain lho kalau dirobek pake cutter apa nggak takut barang tuh rusak padahal di resi toko oren udah ada detail nama barangnya nggak cuma sekali aja ð"
"476","Positif",1,"total ada  paket dibawa oleh sicepat semuað mana kurirnya sama lagi mantap bgt tokopediað"
"477","Positif",0,"pake ekspedisi sicepat aman gk yaaaa takut bngt ð"
"478","Positif",0,"sad bgt alamatku gbisa dipake buat sicepat"
"479","Positif",0,"dah jelas alamat  blt ððð  whyyyyyyy ð"
"480","Negatif",-1,"biasa aja palingan juga yg ngesave  gua rata kurir jne jnt sicepat driver gofood shopefood wkwk  ð risih ga kalo ada yang stalk getcontact kalian"
"481","Positif",0,"haloo  paket dengan resi  sudah sampai mana kalo deket saya jemput urgent please ð"
"482","Negatif",-3,"akhirnya kecepatan  melambat teamnya di kota makassar tidak sanggup berakselerasi dengan tim di jakarta mental tim makassar telah terpuruk lambat dan acuh awal keterpurukan perfom sicepat jatuhnya sang jawara "
"483","Negatif",-3,"halo ada yang lagi butuh admin packing aku bisa nihâ â dom jakarta selatan â dekat ekspedisi pengiriman jnt shopee express sicepat â bahan bisa dari aku atau dari kalian â sudah pernah packing pc ã â fee bisa dibicarakan kalau minat bisa langsung dm  ya"
"484","Negatif",-1,"klo pake kurir id express di shopee knp kek berasa lama drpd jntsicepat dll ya"
"485","Positif",1,"sicepat ayo tunjukkan kecepatan mu"
"486","Negatif",-4,"jt emang ga secepat shopee express sama sicepat tapi gatau gue nyaman aja pake jamp  ga pernah ada kendala sama pelayanan mereka ditambah abang jamp  yang biasa anter bisa diajak kompromi kalo paket yang dateng ke rumah udah kebanyakan dia mau gue suruh untuk anter ke kantor ðð"
"487","Positif",0,"sebel deh sicepat kenapa lama bgt si ngirim paket"
"488","Positif",1,"mrie siang ini ke sicepatð"
"489","Negatif",-1,"sicepat nih emang cepet gemes gw  ss semalem jam  barangnya udh sampe di rumah udah kek pake gojek sameday ð"
"490","Positif",0,"sicepat mohon kerjasamanya smg paket sy  dibobolð"
"491","Negatif",-3,"bingung sama sicepat giliran minta  xpress kirimknya lama banget  kacau kalah ama reguler  ampun dahhhh"
"492","Positif",0,"min  hurry  pickup paket shopee buat resi "
"493","Positif",0,"sicepat sing ora cepatcepat amat ngising"
"494","Positif",0,"pertama kali paket gw salah kirim ama sicepat ððð "
"495","Negatif",-3,"alahamdulillah pengirim aksesoris alat fitness lancar kami melakukan pengiriman melalui jne jnt gosend sicepat gojek dan grab jika barang ingin di kirim hari ini maka pembayaran sebelum jam  yaaa gaissðð kami akan melayani dengan sebaikâ"
"496","Positif",1,"sicepat kargo kok lama banget yaa tanggal  udah sampe gudang kargo daerahku tapi sampai skrg belum dikirim ke aku tt harusnya kemarin tuh dikirim gak sih masa di gudang didiemin aja gitu seharian"
"497","Positif",0,"ada yg paketnya pake sicepat ga sih sumpah udh  hari statusnya cuman menunggu proses pengiriman masa "
"498","Positif",0,"sicepat kecepetan anjir ð"
"499","Positif",0,"gangerti lagi sama bercandaannya pegawai sicepat satu ini ð"
"500","Negatif",-1,"wehh seneng bgt gue sicepat mau buka di rempoa udah ada plangnyaaa tinggal nunggu buka jadi gausah jauh jauh lagi dah ke prapatan durenðð"
"501","Positif",2,"kalo kalian ada ongkir yang dipotong dari saldo penjual kudu di usut pokoknya aku ngurus dari tanggal  tanya cs shopee cs sicepat follow  terus karena yakin barangku ngga seberat ituð mari kita lihat apakah senin selasa dananya balik"
"502","Positif",0,"capek dehhhh "
"503","Positif",0,"love  sicepat mataku langsung melekâº"
"504","Positif",0,"tumben sicepat lama bgt  hari sesama jkt"
"505","Positif",2,"emang sicepat keren bgt barang dr jkt dikirim ke bandung pagi hari malemnya udah sampe hebattt ð"
"506","Positif",0,"lowongan kerja pt sicepat ekspres indonesia posisi lokasi kualifikasi dan melamar buka link  â gabung di channel telegram ð  gratis"
"507","Negatif",-1,"min ini kenapa ya ngestuck kaya gini udah  hari ga dikirim kirim ke alamat "
"508","Negatif",-1,"ð ada yg pernah pake sicepatbest gaa itu biasa berapa hari sih nyampe nya"
"509","Negatif",-1,"sicepat tolol"
"510","Positif",0,"sicepat kok paket buyer gw belom sampe juga si"
"511","Positif",1,"sicepat apanya cepat ð"
"512","Positif",1,"sicepat emang cepat â "
"513","Negatif",-1,"bales woi jan diem aja  jangan kasih jawaban template lg atau ngasih info yg sebenernya udah ada di website dan bisa saya cari sendiri gak guna"
"514","Negatif",-6,"edan  hari ga ada pergerakan sama sekali paket lain yg  ekspedisi lain malah udah nyampe yg bener aja tolong dong wkwkwkwkwk  kalo seller nya ga asal ganti jasa ekspedisi saya udah males urusan sama sicepat sebenernya ini resinya "
"515","Negatif",-2,"hi  kenapa paket saya stuck di satu tempat ya dari kemarin dan ga bergerak dari titik terakhir padahal udah sehari "
"516","Negatif",-1,"buat seller gostore mau tanya dong klo ekspedisinya sicepat emang langsung dpt resi ya bukan cuma shipper id aja maaf ya br pertama buka store soalnya makasii jm"
"517","Negatif",-3,"kurir sicepat yg biasa nganter paket ke rumah tuh ibu sama suaminya gituu selalu boncengan trs tiap ke rumah blm sampe depan rumah bgt udah teriak âcaaa caaa pakeeetttâ beneran sekeras itu kek emak nyuruh anaknya makanð"
"518","Positif",0,"ðpromo gostore desember cashback ð  pengiriman dari yogyakarta  subsidi ongkir   ekspedisi jnejntsicepatgosend âdisarankan tidak memilih gosend karena biasanya lebih lama sampai tergantung cuaca dan sering ada kendala di titik mapsâ"
"519","Positif",0,"macrame keyringbag keychain motif  rainbow ð   ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia macrame walldecor decor keyring accessories"
"520","Positif",0,"kalo begini caranya ran haitani gue kapan sampenya paket dikembalikanpaket menuju tempat andapaket dikembaikan padahal alamat gue dah jelas bgt aslian kapok bgt pake sicepat"
"521","Negatif",-2,"ngakak baca chat sama sicepat ðð   kasian dikit"
"522","Negatif",-1,"dari jakarta doang ke maros perlu waktu lebih dari seminggu ga lagiâ gua    sistemnya halu"
"523","Positif",0,"sicepat"
"524","Negatif",-2,"sicepat oh sicepatttttttttt sebenernya kasian sama bapaknya ngirim paket jam  malem gini tapi ya jangan ditaruh depan rumah juga dongð mana tau kalo ada paket untung bapakku yang nemuin pas mau masukin sepeda ð"
"525","Positif",1,"asli lama ini anteraja bisa jadi jne   kalo selambat ini masih mending sicepat sebenernya tapi ya namanya gratis ongkir harus terima risiko"
"526","Positif",0,"pake sicepat beli sekarang nyampe kemarin"
"527","Positif",0,"sicepat cepet banget dah paling lama paling  hari kalo dibandingin sama yang sebelah  hari itu baru nyangkut di jakarta timur"
"528","Positif",1,"sicepat pengirimannya benar cepat ð"
"529","Positif",1,"nangis bgt paket gue dishopee semua pengirimannya beda kurirðð yg satu jt anteraja sicepat shopee express dan semuanya dikirim hari inið"
"530","Positif",0," di sicepat tgl  nya event anteraja mntp"
"531","Positif",1,"baru kali ini kurir paket datengnya jam malem terbaek emangg sicepat wokwowkowk"
"532","Negatif",-1,"bales dm gua dah   paket saya di pending mulu apa perlu disamper nih ga amanah banget jelek tahu engga service lu "
"533","Negatif",-2,"ngerampok pc terussssss mau buka  kah   dan beneran pcnya ga ada ð"
"534","Positif",0,"paket saya di pending mulu apa perlu disamper nih ga amanah banget jelek tahu engga service lu "
"535","Negatif",-3,"halo tolong tanggung jawabnya ya   dan beneran pcnya ga ada ð"
"536","Negatif",-4,"sifasttttt kelakuann lo benerbener yee kerja lo gmna siihhh  ambil pc org hshshh  kelakun kelakuan  ya ampun kirain ga akan ngerasain kayak gini ternyata ngerasain juga âºï liat yaaa ini box udah jelas bgt kebuka solatipnya jg keliatan digunting tolong dong gimana ini  "
"537","Positif",0,"halooo  mau tanya dong"
"538","Negatif",-3,"ya ampun kirain ga akan ngerasain kayak gini ternyata ngerasain juga âºï liat yaaa ini box udah jelas bgt kebuka solatipnya jg keliatan digunting tolong dong gimana ini  "
"539","Positif",0,"nyesel pake anteraja mending sicepat deh aelah"
"540","Negatif",-1,"memang sicepat ga pernah ngecewain ya aku baru  barang kemarin malam hari ini udah sampe estimasi tibanya padahal masih besok aaaaa sayang banget sama ekspedisinyaðð"
"541","Positif",1,"random banget tibatiba kangen oh mess kalo acara award gini yang ngumuminnya bagai sicepat estimasi tanggal  dia nyampe tanggal "
"542","Negatif",-1,"gila sicepat buanter "
"543","Negatif",-4,"ada yg pernah jualan di tokped kalau mau ajuin free ongkir cuma bisa sicepat dan anteraja ya jt gabisa"
"544","Positif",0,"akhirnya stlh sekian lama  bisa pake sicepat skrng bsa kangen bgt pake sicepat"
"545","Negatif",-1,"pengalaman "
"546","Negatif",-1,"wal ini knp ya btw ini pke sicepat halu"
"547","Positif",1,"pake sicepat ngirim dari cimahi ke bandung biasanya berapa hari"
"548","Positif",0,"itu cewe lu apa gerai sicepat ampe dimanamana ada"
"549","Negatif",-3,"berawal dari kesel karena di spam jutek jawab telfon karena kirain penipuan ternyata beneraaannn ððð thank youu  ðâïâï"
"550","Positif",2,"kayanya harus pindah ke sicepat dulu"
"551","Negatif",-1," ini gimana dehsoalnya seller udh aktifin sicepat sama id express kok ttp gabisað"
"552","Negatif",-1,"beli tanggal  estimasi datang tanggal  dan malam ini udah di tegal wkwk beneran  ððð"
"553","Positif",2,"sicepat cepat juga ternyata keren"
"554","Positif",1,"sicepat ngegas banget tadi pagi masih di bandung"
"555","Negatif",-1,"kecewaaaaa ni sicepat diaplikasi masi sampe jakarta tau dah sampe rumah ajaaa ðð"
"556","Positif",0,"jjur gue baru ngirim  paket anjirr yg satu pake sicepat yg si jnt nah yg jnt ni kan ikut error jga jdinya takut kenapa ððð  guys shopee data center nya kebakaran dont   transaction dlu   time  ya   "
"557","Negatif",-1,"ampun deh sicepat"
"558","Negatif",-2,"yahh pertamakali kecewa cuy pake sicepat  estimasi  desember nyampe ditungguin ini sampe maghrib ga nyampe trnyata dibalikin ke ancol ðð rumah  di ciracasss hufttt tolong bgt besok mau dikasih buat perpisahan puskes ini barangnya ð"
"559","Negatif",-2,"frustasi nyari  cabang sicepat ga nemu"
"560","Positif",1,"daftar alamat kantor sicepat ekspress jepara  daftar alamat terbaru"
"561","Positif",1,"daftar alamat kantor sicepat ekspress kabupaten kudus  daftar alamat terbaru"
"562","Negatif",-4,"notice halo untuk yang pesanannya pakai ekspedisi ini mungkin kita delay  hari ya karena  resinya ga keluar dari tadið untuk yang mau  hari ini disarankan pilih ekspedisi sicepat dulu yað hope itll  solved soon ðº thank youð"
"563","Negatif",-6,"anteraja makin parah ya masih daerah jakartatangerangbekasi dari kemarin tuh  hari loh apa mereka lagi ada perubahan internal atau gimana deh bekasi jarak toko hanya km tapi hari ini belum sampai ckckck  sicepat semarangbekasih sehari anteraja cant relateððð"
"564","Negatif",-1,"ni nanti tbtb sicepat nongol di depan rumah ð"
"565","Positif",0,"lokerbdl lowongan kerja lampung admin finance sicepat"
"566","Negatif",-1,"kecewa banget dah aku sama lu "
"567","Positif",0,"teman nanti pilih sicepat "
"568","Negatif",-1,"ayo dong paketku pakai seicepat  udah  hari ga dipickuppickup  "
"569","Positif",1,"hehehehehe paket baru sampe kok udah kebuka gini  "
"570","Negatif",-2,"min  untuk nomor resi  mohon segera di pick  ya sampai sekarang belum ada kurir yang datang tapi statusnya begitu di shopeeð"
"571","Negatif",-2,"ini dia nih ð bisa ga ya minta data oengirim ke sicepat ð sumpah lemes bgt   kak dipaketnya ada alamat pickup ga"
"572","Positif",0,"sicepat tumben lama dahhhhh tt"
"573","Positif",2,"wow sicepat nih sungguh cepat bikin orang emosyyyi"
"574","Positif",1,"buset dah sicepat estimasi besok baru dikirim td siang barusan udh sampe kaget wakð"
"575","Negatif",-1,"sumpah sicepat kok lo lama bgt anjiirr sampe skrng ga sampe sampe"
"576","Negatif",-4," po nct  merch favorite close po sold  â include est emstax â sealed â pelunasan di ina â freebies ðharga merupakan harga estimasi ya bisa naik atau turun tergantung berat dan tax pengiriman jt dan sicepat ongkir dicek manual atau co di shopee ongkirâï"
"577","Negatif",-3," po ateez season greetings  close po    des close po    des book slot  dp   â est emstax  kg â sealed â pelunasan di ina â freebies âï berat diestimasikan tinggi supaya tidak tibatiba berubah jauh pengiriman jt dan sicepat ongkirâïâï"
"578","Negatif",-1," preorder ateez  album zero  fever epilogue close po   des  close po   des  pilih versi abc  â freebies â ems  tax â pelunasan saat di ina â pob â sealed pengiriman jt dan sicepat ongkir dicek manual atau co di shopee ongkir otomatisâïâï"
"579","Negatif",-2,"admin  resi   kok masih belum di pick  ya"
"580","Positif",0," preorder keper mini album vol   impact close po   des close po   des  kalbum random ver set  â freebies â ems  tax gr â pelunasan saat di ina â harga bersih â sealed pengiriman jt dan sicepat ongkir dicek manual âïâï"
"581","Negatif",-3," po enhypen season greetings  close po    des close po    des book slot  dp   â est emstax  kg â sealed â pelunasan di ina â freebies â berat diestimasikan tinggi supaya tidak tibatiba berubah jauh pengiriman jt dan sicepat ongkirâïâï"
"582","Positif",1," preorder ceci  lee dong hae close po   des  close po   des    dp  â freebies â est ems  tax  kg â pelunasan saat di ina â harga bersih â sealed pengiriman jt dan sicepat ongkir dicek manual atau co di shopee ongkir otomatis oleh shopeeâï"
"583","Negatif",-1,"cape ga nemu sicepat"
"584","Positif",1,"sicepat yang tidak cepat"
"585","Positif",0,"sicepat yang ga cepat amat"
"586","Negatif",-2,"sicepat tolol bgt anjing"
"587","Positif",2,"sicepat sesuai namanyaemang cepet banget wkwk estimasi tiba tanggal  desember tanggal  udah nyampe aja paketnya wkwkððð"
"588","Negatif",-4,"sicepat pengen gue maki dah kemarin ga gerak ini pagi taunya paket gue salah dikirim dan ga gerak lg "
"589","Positif",0,"cek dm min "
"590","Positif",1,"ini si cepat gimana sih nge lacak paket kok paketnya bolakbalik doang isinya dari kemarin cs di telp  gabisa  "
"591","Negatif",-3,"dear  kenapa ya kurir nya ga mau anter paket sampe alamat kenapa kami customer harus ngambil di agen kalo kayak gini harusnya ongkir dipotong ga sih"
"592","Positif",1,"anteraja min paket dengan nomor resi  dari tokopedia bandung sampe mana ya karena terkahir update status pengiriman kemarin siang masa lama banget dr bandung ke jakarta kalau sicepat biarpun reguler dikirim kemarin siang hr ini sampe"
"593","Negatif",-3,"halo ada yang lagi butuh admin packing aku bisa nihâ â dom jakarta selatan â dekat ekspedisi pengiriman jnt shopee express sicepat â bahan bisa dari aku atau dari kalian â sudah pernah packing pc ã â fee bisa dibicarakan kalau minat bisa langsung dm  ya"
"594","Negatif",-1,"kenapa sicepat jadi lama ya malah anteraja yang nyampenya secepat kilat ðð"
"595","Positif",0,"hallo "
"596","Negatif",-1,"dear kak  mohon informasi untuk resi ini  apakah masuk pengantaran hari ini atau besok yah kaktks"
"597","Positif",0,"sicepat tutup ajalah sono dah  beli barang berhari hari kaga dipickup ama kurirnya cok"
"598","Positif",4,"terakhir kali pakai  mau lu hilangkan itu barang juga terserah penting uang balik untung di shopee masih bisa ubah pengiriman ditokopedia mendingan cod dapet "
"599","Positif",1,"nyesel asli pilih jt harusnya kmrn pilih sicepat aja"
"600","Negatif",-1,"dear sahabat sicepat saat ini call center kamu sedang mengalami gangguan link telepon untuk menanyakan seputar paket kamu bisa menghubungi ke nomor  atau melalui whatsapp     email  costumercarecom"
"601","Positif",0,"wts   sell pc bts  tokopedia â jimin â jin â taehyung ðall  condition ðk cashback  gopay ðtangerang selatan âï cuma bisa via gostoreâïgratis ongkir sampai  kirim via gosendsicepatjnt tags wtb wts pc bts tokopedia photocard jin jimin  ina"
"602","Negatif",-1,"halo  boleh minta tolong lacak ga  terus kenapa pending ya paketnya"
"603","Positif",1,"pengiriman hari ini udah selesai yaa sicepat udah di pickup tinggal jnt nunggu mang kurirnya pickup makasiii semoga barangnya sampai dengan selamat ke alamat yg dituju ð"
"604","Positif",0,"tapi hemat sicepat nga sampe  minggu kaya jnt plis"
"605","Positif",0,"gatau deh sicepat sistem pengirimannya pake teleport kayanya"
"606","Positif",0,"emang meningan jnt dah drpd sicepat"
"607","Positif",1,"customer service nya  lagi libur deh kayanya di telfoninnya dari  jam yang lalu masih aja sibuk terus"
"608","Positif",1,"sicepat benar benar cepat"
"609","Negatif",-2,"emang pake sicepat tuh bener cepet sekarang di kirim tiba besok pagi udah dateng tuh pake padahal tulisannya masih di tempat sortir "
"610","Positif",1,"sicepat yang tidak cepat hadooohh"
"611","Positif",1,"heh terlalu cepat ini kebangetan deh ðð seller juga gercep bgt ngemasnya "
"612","Positif",0,"halo kak admin  boleh tolong cek dm thanks beforeðð"
"613","Negatif",-1,"ini garagara atmos tibatiba milihin pake sicepat jd terpaksa berurusan lg sama sicepat"
"614","Negatif",-1,"halo min  kalo bandung timur sortstation itu alamatnya dimana ya"
"615","Negatif",-3,"lowongan kerja pt sicepat ekspress indonesia posisi  kurir freelance kualifikasi   usia maksimal  tahun  pendidikan minimal smp  memiliki hp minimal ram   memiliki sim  selengkapnya di"
"616","Positif",1,"hi sahabat sagitarius menurut ramalan sigesithoroskop bulan desember ini akan menjadi bulan yang penuh kebahagiaan bagi sagitarius setelah beberapa bulan sebelumnya melewati beberapa tantangan mana nih sahabat sagitarius komen dulu yuk ð sagitarius sicepatekspres"
"617","Positif",1,"halo min tolong cek resi  gak gerak terakhir di jakarta utara  makasih minn"
"618","Positif",0,"plis pilih ekspedisi sicepat jgn jnt cape masalah mulu heyð"
"619","Positif",0,"sicepat fix pake buroq"
"620","Positif",0,"tolong jangan spam dong di wa  sering bener ngirimin ginian"
"621","Positif",0,"kuris sicepat sunggu simpleðð"
"622","Positif",0,"demi allah sicepat kenapa siiiii"
"623","Positif",0,"kenapa sih setiap ngirim paket ke sicepat selalu ditanya isinya apa gua degan soalnya isinya pc anjir"
"624","Positif",1,"anteraja ni bikin emosi terus njir udah sampe di ss knp  langsung dianter kurir coba mana setiap pesen di tokped  pernah dpt sicepat  apesla"
"625","Positif",1,"wts   sell pc bts  tokopedia event terbaru  november pc tokopedia jin seokjin holo  condition price  gostore  freeongkir    via sicepatjnt tags wtb wts bts tokopedia photocard jin seokjin ina"
"626","Positif",0,"sicepat yg tidak cepat lama bgtttt ih ditungguin juga"
"627","Positif",1,"tumben dah lama banget sicepat"
"628","Positif",0,"gila yaaa sicepat nih jktsolo sehari nyampe hahahah gokil"
"629","Positif",1,"min  sigokil nya beneran menggokil min masa seharian gak ada update"
"630","Positif",1,"sesuai ekspektasi garcep gaspol sekali ð udah kayak ekspedisi sicepat euy"
"631","Negatif",-1,"tumben deh ini sicepat lama bgt ð kado nih masalahnya mana belum dibungkus"
"632","Positif",0,"ini sicepat kok tumben lama yak"
"633","Negatif",-1,"bayangkan gr sicepat tuh pc jt ku hampir hilang ðð bukannya gmn ya kl invoicenya  oke lah tp jgn jg sih lah ini gue co cuma  ribuðð sicepat bikin emosi bgt asli udah ga napsu makan brp hari untung gue ada nomor buat komplain"
"634","Positif",2,"wts   sell pc bts  tokopedia event terbaru  november pc tokopedia suga yoongi holo ada damage sesuai pict price  gostore  freeongkir    via sicepatjnt tags wtb wts bts tokopedia photocard suga yoongi ina"
"635","Positif",0,"love hate banget sama sicepat"
"636","Negatif",-4,"kurir sicepat lagi lelah letih lesu apa ya"
"637","Negatif",-2,"knp skrg sicepat mulai lambat ya âï"
"638","Positif",0,"fakyu sicepatekspres"
"639","Positif",1,"cepet banget paket aku sampenya seriuslaaaaa sicepat ni mang dahlah besttttð"
"640","Positif",0,"sicepat beneran ekspres njir ððð"
"641","Positif",1,"sicepat gak cepat lagi "
"642","Positif",1,"dulu dulu kalo belanja di olshop selalu pilih ekspedisi sicepat karna bisa sehari sampe skrg skrg sicepat kok malah jadi silambat ya ð malah jadi cepetan jnt"
"643","Negatif",-1,"mau sungkem sama sicepat gila beneran udah kek jinnya nabi sulaiman alias cepet banget nyampeð"
"644","Positif",1,"perasaan dulu sicepat halu masih cepet skrg malah jt yg cepet sampe"
"645","Positif",0,"de tgl  nov sampe  des ð "
"646","Positif",1,"sumpah lu ngirim paket pake apaan anjir cepet banget padahal reguler "
"647","Positif",1,"sicepat daerahku sekarang sering banget kena criss cross kurang nice sih"
"648","Negatif",-5,"hati senang jika pesanan di  dapat kurir  tujuan kota makassarððð lain hal jika dapat   mutlak underestimate masih tetap saja perform gitu lambat gitulah sejak dari bulan lalu lalu tetap tak berubah nasib nyaððð"
"649","Positif",0," layanan sicepat yang harus kalian ketahui"
"650","Positif",1,"pagi min  mohon cek resi  tidak ada pergerakan sejak kemarin mohon dipercepat pengirimannya terima kasih"
"651","Negatif",-2,"wah tumben bgt pake jasa pengiriman  jadi lama bgt nyampe nya biasanya sebelum estimasi tgl nyampe udah nyampe duluan keterangan udah ninggalin jkt  smr ga nyampe bxt juga mungkin lg overload yaa barangnya di pake buat kerja padahal ð"
"652","Negatif",-3,"sicepat ko ga jalan jalan sihhhh katanya cepettt"
"653","Negatif",-2,"sicepat itu sebenernya udah bagus yang di semarang ini yang di jakarta ga tau kenapa ngirim barang  hari ga kelar kelar hari  ga diambil ama kurir hari  baru diambil sorenya hari  statusnya masih keluar dari jkt lagi pada demo mogok kerja atau gimana lamma bener"
"654","Negatif",-1,"besok beli sesuatu pengirimannya pake  aja  luar biasa lambat pengiriman  estimasi waktu biasanya ð"
"655","Positif",0,"macrame keyringbag keychain motif  rainbow ð   ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia macrame walldecor decor keyring accessories"
"656","Positif",0,"wts    sell ð pc bts  tokopedia event baru dan lama â pc sesuai pict â  saldo gopay minimal  â  info dm aja ya ð gostore  freeongkir    via sicepatjnt tag  wtb wts pc suga jin taehyung jimin jhope jungkook tokped bts tokopedia photocard"
"657","Positif",0,"naha ujug ujug diinput di tangerang pls deh sicepat biasanya ngga gini loh biasanya cepet sampe makanya ak pake sicepat trs"
"658","Positif",0,"sicepat lurrrrr ââââââââââ citilink pkgtk "
"659","Positif",0,"bener yaaa sicepat bener cepeet bgttt asliii dahhh kurirnya ini pake teleport ya tercinta bgt emang "
"660","Positif",3,"sicepat beneran cepet bgt asli kalo ngirim paket gue sengaja beli cod biar dtgnya harian lagi besokannya udh paket untung lg ada duit waktu itu"
"661","Positif",0,"sicepat ndak gerakgerak"
"662","Negatif",-1,"ini aku yg lagi apes atau emng  yg uda ga sesuai namanya ya paket dr tgl  sampe sekarang lom dianter mondar mandir di gudang mereka ampe gnti kurir lagi hadeh ga sesuai ama nama"
"663","Positif",2,"ini sicepat tumbenan banget ngestuck paketnya biasanya kaya buroq cepet banget"
"664","Negatif",-1,"tadi mau ngirim paket kan di  tapi malah dioper ke ekspedisi laen dan katanya lagi gabisa maksudnya gimana deh lagi gangguan ape gimane"
"665","Negatif",-2,"ini sicepat asli ya udah nelfon dr jam set sampe jam  kurang blm sampe juga gua ngantukð"
"666","Negatif",-1,"ðdiskon alerts ð sekarang belanja skincare bisa dapet  âï cashback langsung segede ini âï free ongkir seluruh indonesia reguler maupun  day âï bisa kirim seluruh indonesia ya guys pake pengiriman jnt jne ataupun sicepat"
"667","Positif",1,"nih kejadian lagi  sy ada barang udah siap ga ada yg ngabarin pickup gada yg ngetok gada apa tiba update ginianmaunya apa sehapa sih gimana ini   perhatiin nih apa mesti saya disable fitur free ongkir saya"
"668","Positif",2,"mun sicepat atau jnt biasana jogjabandung sehari geus nepi ieu anteraja teu maju maju ti kamari di sleman"
"669","Negatif",-1,"jam  siang barang didrop di depok jam  malam udah sampe sicepat pake buroq apa ya"
"670","Positif",0,"cah lek dadi kurir mending jnt sicepat opo anteraja menurutmu"
"671","Positif",0,"sicepat beneran cepet bener njir dikirim jam  pagi eh skarang dh nyampeð"
"672","Positif",0,"cah lek dadi kurir daerah plat ag mending jntsicepat opo anteraja "
